"keyword","ngram","freq","rake","key"
"pm",1,2,0.666666666666667,"pm"
"po",1,8,0.611111111111111,"po"
"mg",1,188,0.532663316582915,"mg"
"g mag",2,2,0.52280701754386,"g mag"
"op nausea",2,3,0.514285714285714,"op nausea"
"pain",1,127,0.405660377358491,"pain"
"mag",1,3,0.4,"mag"
"tylenol",1,8,0.384615384615385,"tylenol"
"hr",1,23,0.34375,"hr"
"r",1,4,0.333333333333333,"r"
"op",1,7,0.3,"op"
"use",1,17,0.260869565217391,"use"
"dos",1,19,0.227272727272727,"dos"
"nausea",1,23,0.214285714285714,"nausea"
"vomit",1,4,0.2,"vomit"
"ml",1,57,0.191176470588235,"ml"
"bedtime",1,10,0.181818181818182,"bedtime"
"breakfast",1,5,0.166666666666667,"breakfast"
"patient",1,6,0.142857142857143,"patient"
"microgram",1,61,0.128571428571429,"microgram"
"sbp",1,7,0.125,"sbp"
"g",1,50,0.12280701754386,"g"
"hour",1,253,0.106617647058824,"hour"
"mcg",1,55,0.0677966101694915,"mcg"
"day",1,197,0.0588235294117647,"day"
"unit",1,165,0.0473372781065089,"unit"
"minute",1,103,0.00961538461538462,"minute"
"advair",1,2,0,"advair"
"am",1,2,0,"am"
"anesthesia",1,2,0,"anesthesia"
"ativan",1,7,0,"ativan"
"benadryl",1,3,0,"benadryl"
"benefiber",1,2,0,"benefiber"
"bpm",1,2,0,"bpm"
"cardura",1,2,0,"cardura"
"celexa",1,2,0,"celexa"
"cleocin",1,10,0,"cleocin"
"colace",1,12,0,"colace"
"crcl",1,2,0,"crcl"
"cycle",1,2,0,"cycle"
"cytomel",1,2,0,"cytomel"
"darvocet",1,3,0,"darvocet"
"dilaudid",1,4,0,"dilaudid"
"dosage",1,3,0,"dosage"
"electrolyte",1,2,0,"electrolyte"
"feed",1,2,0,"feed"
"fever",1,9,0,"fever"
"fluid",1,5,0,"fluid"
"give",1,114,0,"give"
"glucophage",1,4,0,"glucophage"
"gram",1,3,0,"gram"
"guideline",1,10,0,"guideline"
"humalog",1,8,0,"humalog"
"incision",1,17,0,"incision"
"keflex",1,2,0,"keflex"
"keppra",1,10,0,"keppra"
"kg",1,3,0,"kg"
"lasix",1,2,0,"lasix"
"lock",1,4,0,"lock"
"lopressor",1,7,0,"lopressor"
"lovenox",1,6,0,"lovenox"
"meal",1,34,0,"meal"
"meq",1,3,0,"meq"
"mevacor",1,2,0,"mevacor"
"miller",1,2,0,"miller"
"min",1,16,0,"min"
"motrin",1,3,0,"motrin"
"n",1,3,0,"n"
"neurontin",1,3,0,"neurontin"
"neutra",1,2,0,"neutra"
"novolog",1,3,0,"novolog"
"percocet",1,2,0,"percocet"
"pho",1,2,0,"pho"
"post",1,3,0,"post"
"pr",1,3,0,"pr"
"pre-procedure",1,5,0,"pre-procedure"
"prilosec",1,2,0,"prilosec"
"procedure",1,7,0,"procedure"
"protonix",1,3,0,"protonix"
"puff",1,4,0,"puff"
"rate",1,2,0,"rate"
"reconstitution",1,5,0,"reconstitution"
"release",1,3,0,"release"
"replacement",1,2,0,"replacement"
"rescue",1,7,0,"rescue"
"senokot",1,2,0,"senokot"
"site",1,6,0,"site"
"solu",1,2,0,"solu"
"source",1,2,0,"source"
"spray",1,2,0,"spray"
"synthroid",1,6,0,"synthroid"
"tear",1,3,0,"tear"
"therapy",1,2,0,"therapy"
"time",1,189,0,"time"
"unasyn",1,13,0,"unasyn"
"vomiting",1,18,0,"vomiting"
"xanax",1,2,0,"xanax"
"zantac",1,22,0,"zantac"
"zestril",1,4,0,"zestril"
"zocor",1,4,0,"zocor"
"zofran",1,24,0,"zofran"
"zosyn",1,3,0,"zosyn"
